Region,Chance,Encounter
"The Shrieking Moors",.20,"1d3 aurochs"
"The Shrieking Moors",.3,"1d2 giant scorpions"
"The Shrieking Moors",.35,"1 triceratops"
"The Shrieking Moors",.55,"1d4+4 Gnolls"
"The Shrieking Moors",.6,"1d2 Rapture Berserkers, 2d4 Heaven’s Gate Raiders"
"The Shrieking Moors",.65,"2d6+7 Kobolds"
"The Shrieking Moors",.85,"2d6 wolves"
"The Shrieking Moors",1,"2d4 giant bees"
"The Black Forests",20,"1d4-3 were boars, 1d4 dire boars, 1d2+2 boars"
"The Black Forests",20,"1d2 trolls"
"The Black Forests",35,"1d4+3 gnolls, 1d2+2 giant hyenas, 1d4-3 trolls"
"The Black Forests",10,"1d3 unicorns"
"The Black Forests",10,"1 wyvern"
"The Black Forests",5,"1 invisible stalker"
"The Silver Cliffs",20,"1d3 mammoths"
"The Silver Cliffs",15,"1d3 frost giants"
"The Silver Cliffs",15,"1d2 stone golems"
"The Silver Cliffs",15,"1d4-2 orc shamans, 2d4 orc veteran hunter, 3d6 orc warriors"
"The Silver Cliffs",20,"1d4 white dragon wyrrmlings, 6d6 kobolds"
"The Silver Cliffs",5,"1 roc"
"The Silver Cliffs",5,"1 remorhaz"
"The Silver Cliffs",5,"1d3 treants"
"The Burning Plains",25,"1d2+1 efreeti"
"The Burning Plains",15,"3d8 giant vultures"
"The Burning Plains",15,"2d4+4 basilisks"
"The Burning Plains",15,"2d4+4 tomb guard"
"The Burning Plains",5,"1d2 spirit nagas"
"The Burning Plains",15,"1d4-3 horned devils, 1d4 bone devils"
"The Burning Plains",10,"1d4+2 fire elementals"
"Ruins of the Tyranny",25,"4d6 hobgoblin infantry, 2d4 hobgoblin bonded archers and pikemen pairs"
"Ruins of the Tyranny",25,"6d6 drow skirmishers, 1d2 drow priestess of lolth, 1d2 drow assassin"
"Ruins of the Tyranny",15,"1d2+1 storm giants"
"Ruins of the Tyranny",10,"1d2 purple worms"
"Ruins of the Tyranny",10,"1d2+1 behirs"
"Ruins of the Tyranny",5,"1d2 death knights"
"Ruins of the Tyranny",5,"5d4 rapture berserkers, 6d10 angel’s gate raiders"
"Ruins of the Tyranny",5,"Dog"
